VAA20

Projekt-ID	729893
URL der Umfrage	https://ww2.unipark.de/uc/mauve_Heinrich-Heine-Universit__/dec0/
Datum	09.12.2020 10:46:21

1 Seite: System (PGID 4650162)


3 Seite: Politisches Interesse 1 (PGID 4822338)

Wie sehr stimmen Sie folgenden Aussagen zu? (q_8841496 - Typ 311)
v_100	v_100	int	Ich interessiere mich im Allgemeinen für Politik.
		1	stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	stimme voll und ganz zu
v_101	v_101	int	Ich informiere mich über politische Themen.
		1	stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	stimme voll und ganz zu
v_102	v_102	int	Wichtige politische Fragen kann ich gut verstehen und einschätzen.
		1	stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	stimme voll und ganz zu



4 Seite: Wahlentscheidung (PGID 4683759)

Wenn z. B. eine Bundestagswahl bevorsteht, denken viele darüber nach, welche Partei sie wählen. Wie wichtig sind folgende Aspekte für Ihre Wahlentscheidung? (q_8586189 - Typ 311)
v_69	v_69	int	Wahlprogramm der Partei
		1	überhaupt nicht wichtig
		2	 
		3	 
		4	 
		5	sehr wichtig
v_70	v_70	int	Positionen der Partei zu politischen Themen
		1	überhaupt nicht wichtig
		2	 
		3	 
		4	 
		5	sehr wichtig
v_71	v_71	int	Begründungen der Partei-Positionen
		1	überhaupt nicht wichtig
		2	 
		3	 
		4	 
		5	sehr wichtig
v_72	v_72	int	Vorherige Wahlentscheidungen („Wähle fast immer das gleiche.“)
		1	überhaupt nicht wichtig
		2	 
		3	 
		4	 
		5	sehr wichtig
v_74	v_74	int	Personal/Spitzenkandidaten/-innen der Partei
		1	überhaupt nicht wichtig
		2	 
		3	 
		4	 
		5	sehr wichtig
v_103	v_103	int	Identifikation mit einer Partei
		1	überhaupt nicht wichtig
		2	 
		3	 
		4	 
		5	sehr wichtig


Hier platzieren Sie den Text für Ihre Frage. (q_8644349 - Typ 911)
v_77	v_77	varchar	Zugewiesener Token
v_84	v_84	varchar	Modus



5 Seite: VAA-Benutzung (PGID 4650176)

Haben Sie schon einmal Anwendungen wie den Wahl-O-Mat benutzt? (q_8521878 - Typ 111)
v_1	v_1	int	VAA benutzt?
		1	Ja
		2	Nein, aber ich weiß, was der Wahl-O-Mat ist.
		3	Ich weiß nicht, was der Wahl-O-Mat ist.


Wie sehr stimmen Sie den folgenden Aussagen zu? (q_8521882 - Typ 311)
v_3	v_3	int	Bevor man seine eigene Meinung angeben muss, sollte der Wahl-O-Mat auch direkt Argumente für und gegen eine These anzeigen können.
		1	Stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	Stimme voll und ganz zu
v_4	v_4	int	Der Wahl-O-Mat sollte neben meiner Meinung zu einer These auch meine Argumente zu meiner Meinung abfragen, und diese für die Bestimmung der Übereinstimmung mit den Parteien verwenden.
		1	Stimme überhaupt nicht zu
		2	 
		3	 
		4	 
		5	Stimme voll und ganz zu


